date,price_usd_close,exchange_to_miner_flow_total,exchange_to_miner_transactions_count_flow,exchange_to_miner_flow_mean,miner_flow_outflow_total,miner_flow_outflow_top10,miner_flow_outflow_mean,miner_flow_outflow_mean_ma7,transactions_count_total,transactions_count_mean,hashrate,Exchange_flow_outflow_total,Exchange_flow_outflow_top10,Exchange_flow_outflow_mean,Exchange_flow_outflow_mean_ma7,block_count,block_bytes,miner_flow_transactions_count_inflow,miner_flow_transactions_count_outflow,difficulty,blockreward,blockreward_usd,Exchange_flow_inflow_total,Exchange_flow_inflow_top10,Exchange_flow_inflow_mean,Exchange_flow_inflow_mean_ma7,supply_total,supply_new,block_interval,exchange_to_exchange_flow_total,exchange_to_exchange_transactions_count_flow,exchange_to_exchange_flow_mean,Exchange_flow_reserve,Exchange_flow_reserve_usd,miner_flow_reserve,miner_flow_reserve_usd,miner_to_exchange_flow_total,miner_to_exchange_transactions_count_flow,miner_to_exchange_flow_mean,utxo_count,fees_transaction_mean,fees_transaction_mean_usd,fees_transaction_median,fees_transaction_median_usd,miner_flow_addresses_count_inflow,miner_flow_addresses_count_outflow,miner_flow_inflow_total,miner_flow_inflow_top10,miner_flow_inflow_mean,miner_flow_inflow_mean_ma7,Exchange_flow_addresses_count_inflow,Exchange_flow_addresses_count_outflow,Exchange_flow_transactions_count_inflow,Exchange_flow_transactions_count_outflow,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,tokens_transferred_total,tokens_transferred_mean,tokens_transferred_median,velocity_supply_total,fund_flow_ratio,price_usd_high,price_usd_low,price_usd_open,average_cap,delta_cap,market_cap,realized_cap,thermo_cap,mvrv,stablecoin_supply_ratio,nvm,nvt,puell_index,stock_to_flow,stock_to_flow_reversion,exchange_whale_ratio_x
2/19/2020,9599.82,10.16287398,25,0.40651496,3190.70735,2946.279614,6.35599074,5.848762301,334664,2373.503546,1.08969E+11,22541.00866,10667.9708,3.31827008,2.283094786,141,1166272.348,2225,502,1.55467E+13,1793.928562,18093625.48,21163.27097,9067.725672,1.36133224,0.993695016,18226721.43,1762.5,613.1205674,151.8570192,25,6.07428077,1330556.492,12773099493,36320.38522,348669069.7,20.29077795,59,0.34391149,65485405,9.39E-05,0.94895169,4.39E-05,0.44200138,3313,2397,2662.763202,1899.717282,1.19674751,1.342165379,19137,19027,15546,6793,0.2228976,2252.340196,31.4285617,317579.9677,0.01751941,1371677.185,4.09866967,0.03235162,26.8391043,0.03186193,10286.26,9317.745,10179.305,33266750407,93384774906,1.74973E+11,1.26652E+11,16926791679,1.38153251,37.59402155,0.27929708,12.62795221,1.163737476,10341.40223,0.92828973,0.24612881
2/18/2020,10178.92,202.1673111,43,4.70156537,2270.506493,2162.133931,4.1584368,5.706676004,330900,2206,1.15925E+11,22562.46675,12132.01814,3.17825986,2.225515929,150,1122872.727,2277,546,1.55467E+13,1905.128125,18769099.53,18315.45604,9902.100392,1.21818796,0.997129119,18224958.93,1875,574.42,140.2001735,31,4.52258624,1331934.26,13557647835,36848.32937,375076074,14.38454597,69,0.20847168,65467715,9.11E-05,0.90229409,3.04E-05,0.30103632,3206,2280,2582.290871,1527.233958,1.13407592,1.306757464,18258,24248,15035,7099,0.20085417,1990.460772,30.12812537,298569.1158,0.01581423,1048423.614,3.16840016,0.031118,26.86451017,0.03898989,10273.9375,9607.895,9709.175,33231881694,93288213062,1.8551E+11,1.2652E+11,16908698054,1.46625197,40.02233436,0.3014893,18.01397399,1.209371914,9719.978095,1.04721601,0.11410359
2/17/2020,9702.26,90.31980264,39,2.31589238,3146.216591,2946.910913,6.10915843,5.8483143,341334,2174.101911,1.21335E+11,13266.27323,8620.824293,1.88254197,2.097503701,157,1024710.815,2360,515,1.55467E+13,1987.797701,19318789.14,14204.40941,8987.368246,0.83047295,0.96666044,18223083.93,1962.5,564.8089172,201.4313855,46,4.37894316,1336181.206,12963977464,36536.54499,354487059,14.71162886,81,0.18162505,65462157,7.41E-05,0.71961534,3.19E-05,0.30925572,3380,2316,3120.19637,2038.911735,1.32211711,1.322626446,21895,18907,17104,7047,0.16113185,1564.51708,25.29770103,245629.1816,0.0127265,1299259.097,3.8064157,0.02935839,26.87488115,0.02114334,9957.0475,9475.07,9919.48,33194402379,93188864986,1.76805E+11,1.26383E+11,16889928954,1.3989597,38.31173568,0.293484,13.94896013,1.247280764,9285.647861,1.04486624,0.16109715
2/16/2020,9926.55,127.082237,34,3.73771285,2586.909818,2440.976839,6.13011805,5.587013483,292094,2057,1.09742E+11,10359.35696,7604.366556,1.73610809,2.374177903,142,934766.8803,2025,422,1.55467E+13,1796.59937,17791993.67,8169.567836,5736.130378,0.70603818,1.084448519,18221121.43,1775,595.2887324,133.0461073,33,4.03170022,1335243.129,13254354341,36562.56522,362940040.3,27.35036084,61,0.44836657,65419498,7.40E-05,0.73137194,4.02E-05,0.39585014,3093,2174,2597.907872,1659.768582,1.28291747,1.276872434,14819,15291,11571,5967,0.15210824,1504.432076,21.59936997,213629.3548,0.01202236,961591.4191,3.29206152,0.01736036,26.84390937,0.01926902,10043.7625,9633.385,9905.56,33159047703,93207277083,1.80873E+11,1.26366E+11,16870610165,1.43133725,39.32537409,0.44157439,18.96865176,1.151157969,10265.42052,0.96698888,0.15371862
2/15/2020,9905.05,87.60463333,38,2.30538509,3350.846774,3198.490197,6.51915715,5.282333937,322579,2271.683099,1.09742E+11,11356.68434,7034.145951,1.49194487,2.26072913,142,1099610.07,2137,514,1.55467E+13,1803.548214,18284397.19,9277.674058,5751.602755,0.64978807,1.041221991,18219346.43,1775,605.3028169,125.4494973,29,4.32584473,1337432.933,13247343414,36551.56716,362045191.7,11.1639855,72,0.15505535,65374601,8.85E-05,0.89757485,4.68E-05,0.47094236,3139,2820,2709.103085,1854.663239,1.26771319,1.238546193,19299,19909,14278,7612,0.20104376,2039.005617,28.54821404,289538.7976,0.01582892,867776.1257,2.69011971,0.02456516,26.83262741,0.02377844,10385.9825,9786.666667,10355.9225,33122673958,93050558647,1.80464E+11,1.26173E+11,16852818171,1.43028421,39.29910353,0.31650672,20.53752178,1.185307574,10264.42052,0.96498896,0.14616122
2/14/2020,10354.50,35.43646803,26,1.36294108,2875.143316,2752.929103,6.73335671,5.051193333,325943,2414.392593,1.04332E+11,13289.76691,8625.174333,1.90261516,2.138516163,135,1090330.081,2102,427,1.55467E+13,1719.672585,17623177.88,17688.80776,9756.652703,1.20717995,1.021920441,18217571.43,1687.5,643.037037,306.5269803,40,7.66317451,1339511.898,13869969247,37193.31085,385117951.2,11.10674401,44,0.252426,65347207,9.87E-05,1.01327489,5.08E-05,0.52130396,2843,1772,3596.38528,2762.45665,1.71093496,1.194440801,16972,14953,14653,6985,0.23831544,2446.443398,32.17258486,330269.8587,0.01870855,1046090.185,3.20942676,0.0319488,26.90543268,0.02961367,10382.3575,10106.66667,10232.1734,33086383093,93049252437,1.88634E+11,1.26136E+11,16834533774,1.49548343,41.02113757,0.35492918,17.55055706,1.144976396,10795.59788,0.95914049,0.13581107
2/13/2020,10234.70,83.48970628,30,2.78299021,2714.315027,2472.415622,4.93511823,4.788253546,339940,2410.921986,1.08969E+11,18079.64826,10652.62773,2.47192347,2.184134856,141,1229481.901,2278,550,1.55467E+13,1797.978586,18466689.76,17172.6306,7721.955801,0.98286576,0.992631643,18215883.93,1762.5,614.7446809,361.3929034,53,6.81873403,1335112.872,13664476375,36472.06889,373280592.3,21.29357882,57,0.37357156,65261892,0.00010437,1.07157692,5.40E-05,0.55336383,3330,3008,3372.924094,2379.592256,1.48065149,1.124399224,20581,22792,17472,7314,0.25162118,2583.488361,35.47858608,364271.8589,0.01973249,1067671.059,3.14076325,0.03696394,27.0023125,0.03301792,10502.8775,10083.3,10341.765,33048061495,92975877829,1.86434E+11,1.26024E+11,16816910596,1.47935434,40.58300654,0.2707947,16.99336825,1.202169245,10335.25329,0.9902706,0.12005504
2/12/2020,10338.14,10.29979733,49,0.21019995,2836.173543,2614.35437,5.36138666,5.232945374,344473,2425.866197,1.09742E+11,20584.35486,12440.79739,2.91521808,2.225853737,142,1147974.5,2345,529,1.55467E+13,1812.398502,18727096.75,22886.32823,10486.53202,1.38537096,1.028070691,18214121.43,1775,608.084507,438.0841319,65,6.73975588,1336019.621,13811953433,35813.45982,370244442.1,32.35709518,70,0.46224422,65281849,0.00010857,1.12270523,5.47E-05,0.56601087,3344,2309,2225.151991,1417.999442,0.94889211,1.139152291,19293,17309,16520,7061,0.26336973,2723.532655,37.39850183,386741.6371,0.02063481,1098478.789,3.1888676,0.03743851,27.15370423,0.03957353,10469.69,10242.5475,10253.8225,33010263072,92873812536,1.883E+11,1.25884E+11,16798443906,1.49582126,41.28849753,0.28442081,16.58306282,1.221608404,10261.47686,1.00747064,0.13051866
2/11/2020,10254.80,24.88801528,29,0.85820742,2719.149774,2500.821367,5.14990487,5.431150327,365435,2469.155405,1.14379E+11,16849.29262,11238.3854,2.28217427,2.149595456,148,1258712.25,2342,528,1.55211E+13,1884.772486,18780827.88,17136.68258,7373.401247,1.00490721,0.988480626,18212346.43,1850,580.222973,189.981881,48,3.95795585,1333717.962,13677007623,36424.48137,373525680.5,15.36133313,59,0.26036158,65229242,9.52E-05,0.94922849,4.91E-05,0.48539117,3443,3038,2916.161886,1955.94252,1.24515879,1.255788016,20414,29933,17053,7383,0.23494923,2343.792666,34.77248558,346881.3146,0.01844917,1018748.511,2.7877694,0.03207066,27.27006534,0.03336052,10369.03333,9713.666667,9851.355,32971986066,92748421947,1.86764E+11,1.2572E+11,16779716810,1.48554978,41.21196282,0.23453567,18.37285214,1.227923726,9844.511583,1.04167661,0.11556073
2/10/2020,9851.23,157.9747881,26,6.07595339,2234.187514,1927.822793,4.28005271,5.52448539,297982,2442.47541,93796521681,23606.85459,11327.08524,3.81926138,2.069117241,122,1199867.254,2187,522,1.54661E+13,1552.580667,15405391.47,23385.00165,10500.21564,1.6549895,0.95763327,18210496.43,1525,707.5327869,306.9010821,41,7.48539225,1333430.602,13135928220,36227.46926,356885041.4,14.28524251,68,0.2100771,65264647,9.26E-05,0.91512102,4.23E-05,0.41673604,3129,1649,2191.021967,1652.949282,1.00183903,1.242066019,17603,16115,14130,6181,0.22607104,2235.160597,27.58066679,272689.5928,0.0177644,1044813.478,3.50629729,0.03345385,27.33545273,0.04497631,10190.0425,9744.3425,10157.77895,32934068921,92611930026,1.79396E+11,1.25546E+11,16760935982,1.42892442,39.82713576,0.35766141,17.31143816,1.009421176,11941.30913,0.82497048,0.15287589
